# ========================================================
# FITPULSE 5-DAY PUSH - PULL - LEG WORKOUT ROUTINE
# Formatted: Task Name | Category | Priority | Details
# ========================================================

# --- THỨ 2 (MONDAY): BUỔI 1 – PUSH ---
1. Pec Deck Fly | Exercise | High | 3 sets x 10-12 reps
2. Incline Dumbbell Chest Press | Exercise | High | 3 sets x 8-10 reps
3. Shoulder Press Machine | Exercise | High | 3 sets x 8-10 reps
4. Chest Supported Dumbbell Lateral Raise | Exercise | Medium | 3 sets x 12-15 reps
5. Overhead Cable Triceps Extension | Exercise | Medium | 3 sets x 12 reps

# --- THỨ 3 (TUESDAY): BUỔI 2 – PULL ---
1. Straight Arm Pulldown | Exercise | Medium | 3 sets x 15 reps
2. Lat Pulldown | Exercise | High | 3 sets x 10-12 reps
3. Chest Supported T-Bar Row | Exercise | High | 3 sets x 8-10 reps
4. Seated Cable Row | Exercise | High | 3 sets x 10-12 reps
5. Pec Deck Rear Delt Fly | Exercise | Medium | 3 sets x 12 reps
6. EZ Bar Cable Bicep Curl | Exercise | Medium | 3 sets x 12 reps

# --- THỨ 4 (WEDNESDAY): BUỔI 3 – LEG ---
1. Lying Leg Curl | Exercise | Medium | 3 sets x 10 reps
2. Leg Extension | Exercise | Medium | 3 sets x 12-15 reps
3. Hack Squat | Exercise | High | 3 sets x 8-10 reps
4. Leg Press | Exercise | High | 3 sets x 12 reps
5. Bulgarian Split Squat | Exercise | High | 2 sets x 12 reps (mỗi chân)
6. Standing Calf Raise | Exercise | Medium | 4 sets x 15 reps

# --- THỨ 5 (THURSDAY): BUỔI 4 – PUSH PULL MIX ---
1. Cable Lateral Raise | Exercise | Medium | 3 sets x 10 reps (mỗi tay)
2. Smith Shoulder Press | Exercise | High | 3 sets x 8-10 reps
3. Smith Incline Press | Exercise | High | 3 sets x 10 reps
4. Reverse Face Rope Triceps Pushdown | Exercise | Medium | 3 sets x 12 reps
5. Assisted Pull Up | Exercise | High | 3 sets x 12 reps
6. Bench Support Incline Cable Curl | Exercise | Medium | 3 sets x 10-12 reps

# --- THỨ 6 (FRIDAY): BUỔI 5 – LOWER ---
1. Adductor Machine | Exercise | Low | 3 sets x 12-15 reps
2. Leg Press | Exercise | High | 3 sets x 10 reps
3. Dumbbell RDL (Romanian Deadlift) | Exercise | High | 3 sets x 10 reps
4. Seated Leg Curl | Exercise | Medium | 3 sets x 10-12 reps
5. Hip Thrust | Exercise | High | 3 sets x 12 reps
6. Seated Calf Raise | Exercise | Medium | 4 sets x 15 reps

# --- THỨ 7 & CHỦ NHẬT (REST DAYS) ---
Nghỉ ngơi & Phục hồi cơ bắp | Recovery | Low | Active Recovery / Nghỉ hoàn toàn
